accountNumber,accountName,address1,address2,city,countryName,zipCode,state,countryCode,parentAccount
ALLIANCE TIRE_M,ALLIANCE TIRE AMERICAS MASTER,201 EDGEWATER DRIVE,SUITE 285,WAKEFIELD,1880,MA,UNITED STATES,US,
1000485410,ALLIANCE TIRE AMERICAS,201 EDGEWATER DRIVE,SUITE 285,WAKEFIELD,1880,MA,UNITED STATES,US,ALLIANCE TIRE_M
APOLLO_M,APOLLO MASTER,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,30361,GA,UNITED STATES,US,
1000511921,APOLLO EXPORT WAREHOUSE,6950 NW 77TH COURT,SUITE 5&6,MIAMI,33166,FL,UNITED STATES,US,APOLLO_M
1000494374,APOLLO INTERNATIONAL FORWARDERS INC,2455 EAST SUNRISE BLVD,SUITE 801,FORT LAUDERDALE,33304,FL,UNITED STATES,US,APOLLO_M
1000242889,APOLLO METRO SOLUTIONS INC,2675 HORSESHOE DR S,STE 401,NAPLES,34104,FL,UNITED STATES,US,APOLLO_M
1000259220,APOLLO VREDESTEIN TIRES INC,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,30361,GA,UNITED STATES,US,APOLLO_M
1000362260,AVAYA INC POST PETITION BANKRUPTCY,4655 GREAT AMERICA PKWY,,SANTA CLARA,95054,CA,UNITED STATES,US,AVAYA_M
1000364047,"AVAYA,INC.DEBIT ACCOUNT ONLY ""POST","PETITION ACCOUNT""",4655 GREAT AMERICA PKWY,SANTA CLARA,95054,CA,UNITED STATES,US,AVAYA_M
BAKERLY_M,BAKERLY LLC MASTER,4300 BRADEN BLVD E,,EASTON,18040,PA,UNITED STATES,US,
1000588438,BAKERLY LLC,4300 BRADEN BLVD E,,EASTON,18040,PA,UNITED STATES,US,BAKERLY_M
BLUE MOOSE CLOTHING_M,BLUE MOOSE CLOTHING MASTER,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,R2W 3C7,MB,CANADA,CA,
1000649825,BLUE MOOSE CLOTHING CO LTD,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,R2W 3C7,MB,CANADA,CA,BLUE MOOSE CLOTHING_M
BORR DRILLING_M,BORR DRILLING MASTER,CONDO BB BLDG FLR SP 998/161 SOI ON,NUT SOI ON NUT 30-32 SUKHUMVIT 77,DUBAI,10250,.,UAE,AE,
1000547618,BORR DRILLING MALAYSIA SDN BHD,JLN STESEN SENTRAL 5,KL SENTRAL,K LUMPUR,50470,.,MALAYSIA,MY,BORR DRILLING_M
1000669018,BORR DRILLING MALAYSIA SDN. BHD,SMA GOLDEN EAGLE REALTY,JALAN AMPANG,K LUMPUR,50450,.,MALAYSIA,MY,BORR DRILLING_M
1000646721,BORR DRILLING SERVICES LLC,OFFICE 937 REGUSAI FARDAN TOWERS 9T,"AL FUNDUQ STREET 61, WEST BAY",DOHA,31316,.,QATAR,QA,BORR DRILLING_M
1000544933,BORR GERD INC (MARSHALL ISL) BORR,DRLLG MGM DMCC (RIG: GERD AAA),P.O. BOX 36913,"DUBAI,",,.,UAE,AE,BORR DRILLING_M
1000544931,BORR GROA INC (MARSHALL ISL),"C/O QUORUM LIMITED, 36913,",BERMUDA,HAMILTON,,.,UAE,AE,BORR DRILLING_M
1000512723,BORR JACK-UP XXXII INC. C/O BORR,"PO BOX 36913, DUBAI AE - UNITED",ARAB EMIRATES,DUBAI,,.,UAE,AE,BORR DRILLING_M
1000506041,BORR SEA OPERATIONS INC BANN ON NUT,CONDO BB BLDG FLR SP 998/161 SOI ON,NUT SOI ON NUT 30-32 SUKHUMVIT 77,DUBAI,10250,.,UAE,AE,BORR DRILLING_M
